task_id_list	courier_id	total_score	willingness
T0000	C0031	1.000000	0.641374
T0000	C0032	1.000000	0.635397
T0000	C0037	1.000000	0.582667
T0000	C0041	1.000000	0.510926
T0000	C0033	1.000000	0.453079
T0000	C0054	1.000000	0.478948
T0000	C0015	1.000000	0.423087
T0000	C0006	1.000000	0.405375
T0000	C0049	1.000000	0.281916
T0000	C0057	1.000000	0.225680
T0000	C0044	8.338996	0.681967
T0000	C0029	1.000000	0.255514
T0000	C0004	1.000000	0.168939
T0000	C0002	3.446337	0.309304
T0000	C0001	1.000000	0.168158
T0000	C0007	5.646864	0.408220
T0000	C0026	1.000000	0.091489
T0000	C0016	1.000000	0.101308
T0000	C0043	1.000000	0.040000
T0000	C0050	5.957759	0.230336
T0000	C0005	6.688297	0.210789
T0000	C0040	11.265661	0.322928
T0000	C0027	12.960492	0.293291
T0000	C0034	14.764589	0.314555
T0000	C0028	21.363442	0.590132
T0000	C0053	20.796885	0.296119
T0000	C0011	18.528469	0.095469
T0000	C0013	24.470214	0.342147
T0000	C0030	28.069623	0.305349
T0001	C0046	1.000000	0.711092
T0001	C0025	1.000000	0.733500
T0001	C0057	1.000000	0.670459
T0001	C0035	1.000000	0.592686
T0001	C0007	1.000000	0.528526
T0001	C0015	1.000000	0.490882
T0001	C0043	4.805205	0.635466
T0001	C0020	1.000000	0.456832
T0001	C0006	1.000000	0.367358
T0001	C0017	1.000000	0.422766
T0001	C0012	1.000000	0.421400
T0001	C0026	1.000000	0.387317
T0001	C0001	1.000000	0.346431
T0001	C0047	1.000000	0.342191
T0001	C0045	1.000000	0.258075
T0001	C0022	1.000000	0.269249
T0001	C0036	1.000000	0.256650
T0001	C0013	1.000000	0.243297
T0001	C0030	1.000000	0.224264
T0001	C0050	6.262665	0.460668
T0001	C0034	1.000000	0.146601
T0001	C0010	1.000000	0.200623
T0001	C0049	1.000000	0.146896
T0001	C0053	8.076527	0.383649
T0001	C0028	6.724699	0.281281
T0001	C0037	13.922791	0.554090
T0001	C0002	16.284335	0.563013
T0001	C0056	15.158321	0.525630
T0001	C0005	14.052220	0.399965
T0002	C0007	1.000000	0.695535
T0002	C0030	1.000000	0.627854
T0002	C0005	1.000000	0.651011
T0002	C0014	1.000000	0.626624
T0002	C0044	1.000000	0.578998
T0002	C0020	1.000000	0.598367
T0002	C0015	2.463781	0.583192
T0002	C0042	1.000000	0.502684
T0002	C0049	1.000000	0.466847
T0002	C0031	1.000000	0.496572
T0002	C0010	1.000000	0.444737
T0002	C0000	1.000000	0.446593
T0002	C0004	1.000000	0.377301
T0002	C0037	1.000000	0.315263
T0002	C0053	1.402404	0.326050
T0002	C0006	1.000000	0.297823
T0002	C0056	6.269658	0.548588
T0002	C0012	1.000000	0.232187
T0002	C0032	1.000000	0.182783
T0002	C0011	1.000000	0.040000
T0002	C0028	13.890701	0.780635
T0002	C0036	12.472802	0.601578
T0002	C0008	13.244482	0.644657
T0002	C0023	8.224750	0.352965
T0002	C0039	8.265605	0.288642
T0002	C0041	7.883719	0.276933
T0002	C0018	15.519340	0.574172
T0002	C0048	5.764594	0.100144
T0003	C0043	1.000000	0.722039
T0003	C0046	1.000000	0.715729
T0003	C0025	1.000000	0.627685
T0003	C0015	1.000000	0.483086
T0003	C0026	1.000000	0.505476
T0003	C0001	1.000000	0.379174
T0003	C0057	1.000000	0.383047
T0003	C0006	1.000000	0.386470
T0003	C0051	1.000000	0.422958
T0003	C0002	1.000000	0.379832
T0003	C0017	1.000000	0.406445
T0003	C0044	1.000000	0.356891
T0003	C0027	2.585055	0.423469
T0003	C0038	3.328071	0.471796
T0003	C0031	1.000000	0.344693
