task_id_list	courier_id	total_score	willingness
T0037,T0039	C028	52.016	0.582
T0007,T0037	C044	37.216	0.1421
T0001,T0030	C037	43.219	0.0461
T0012	C073	49.233	0.1485
T0023,T0034	C057	82.375	0.5205
T0010,T0030	C066	73.438	0.6626
T0018,T0020	C037	57.32	0.2821
T0024,T0037	C036	69.115	0.1372
T0025,T0031	C002	61.894	0.2804
T0017,T0036	C062	86.248	0.6467
T0008,T0028	C057	77.31	0.5019
T0005,T0018	C035	60.969	0.1078
T0003,T0022	C037	73.222	0.0619
T0017,T0037	C069	60.728	0.0438
T0000,T0029	C047	50.599	0.1163
T0014	C016	47.673	0.4588
T0022,T0025	C036	37.441	0.1089
T0012,T0018	C030	30.178	0.2148
T0021,T0028	C015	81.764	0.5121
T0002,T0007	C078	68.218	0.7057
T0021,T0024	C054	53.204	0.563
T0009,T0031	C017	83.96	0.6177
T0029,T0038	C048	49.834	0.2778
T0008,T0031	C078	76.674	0.5874
T0019,T0020	C039	100.0	0.0226
T0029,T0035	C047	37.242	0.1348
T0013,T0027	C074	43.971	0.0461
T0009,T0028	C065	74.549	0.2728
T0006,T0020	C048	36.969	0.0699
T0007,T0037	C014	87.965	0.4497
T0007,T0037	C019	64.861	0.2837
T0034,T0035	C070	50.591	0.1322
T0015,T0023	C056	75.834	0.5541
T0020,T0021	C074	43.572	0.1239
T0013,T0034	C010	52.728	0.7102
T0016,T0029	C075	97.296	0.1599
T0037,T0039	C034	54.899	0.2299
T0006,T0037	C026	36.959	0.1636
T0005,T0012	C064	50.553	0.0465
T0005,T0032	C028	91.119	0.0607
T0007,T0018	C045	40.549	0.0896
T0000,T0030	C017	72.418	0.0294
T0003,T0015	C016	61.632	0.3469
T0006,T0007	C001	49.105	0.148
T0037	C010	31.872	0.71
T0017,T0029	C064	44.707	0.1832
T0030	C031	29.666	0.5521
T0004,T0017	C053	42.113	0.8217
T0017,T0032	C063	76.287	0.3585
T0005,T0014	C000	76.404	0.2321
T0033,T0036	C001	86.203	0.2027
T0012,T0021	C050	77.587	0.6486
T0001,T0028	C018	71.52	0.5868
T0016,T0030	C029	40.612	0.7409
T0005,T0008	C016	43.351	0.0597
T0002,T0032	C034	66.297	0.4252
T0013,T0014	C002	68.575	0.0274
T0033	C021	38.497	0.597
T0001,T0039	C010	26.84	0.3822
T0000,T0029	C022	77.168	0.1357
T0021	C079	39.175	0.696
T0004,T0026	C034	57.852	0.728
T0013,T0022	C072	53.924	0.2857
T0012,T0034	C033	75.312	0.414
T0003,T0005	C071	47.252	0.4623
T0015	C071	39.254	0.8716
T0030,T0032	C077	38.579	0.378
T0001,T0014	C061	73.156	0.5495
T0033,T0036	C050	46.084	0.6029
T0006,T0034	C060	27.324	0.1219
T0006,T0039	C040	30.981	0.3489
T0009,T0018	C028	64.273	0.2074
T0000	C076	36.914	0.5577
T0023,T0025	C078	49.813	0.1101
T0018,T0036	C023	59.434	0.3074
T0007,T0010	C056	57.234	0.0848
T0014,T0036	C028	62.714	0.3816
T0012,T0021	C079	70.232	0.6637
T0007,T0031	C048	50.28	0.3907
T0017,T0031	C010	64.248	0.2138
T0023,T0030	C067	54.795	0.3676
T0002,T0025	C062	89.488	0.1093
T0008	C062	42.547	0.4465
T0015,T0031	C077	45.115	0.1936
T0024,T0036	C071	22.374	0.0853
T0000,T0027	C048	100.0	0.3303
T0019,T0027	C033	79.11	0.373
T0020,T0027	C037	76.498	0.2905
T0004,T0015	C056	71.217	0.4007
T0008,T0022	C002	43.875	0.1797
T0008,T0018	C019	55.005	0.1044
T0013,T0015	C052	75.67	0.3557
T0002,T0023	C029	80.606	0.3147
T0029,T0034	C039	35.842	0.6773
T0008,T0019	C064	58.232	0.225
T0002,T0011	C064	73.934	0.1547
T0008,T0029	C025	31.029	0.307
T0000	C012	28.303	0.9122
T0028,T0032	C039	65.526	0.1808
T0010,T0022	C070	53.088	0.0918
T0027	C017	40.051	0.5465
T0005,T0015	C070	75.65	0.2528
T0015,T0020	C030	100.0	0.4066
T0024,T0027	C013	34.01	0.2651
T0007,T0012	C013	52.507	0.1914
T0001,T0033	C004	47.356	0.7008
T0015,T0036	C011	18.506	0.0482
T0025,T0028	C073	74.608	0.113
T0005,T0030	C000	37.615	0.0339
T0005,T0015	C057	50.932	0.0575
T0009,T0015	C013	64.958	0.3135
T0015,T0022	C046	46.636	0.6114
T0000,T0020	C028	28.44	0.2715
T0003,T0005	C001	36.413	0.2443
T0000,T0039	C045	46.955	0.1382
T0013,T0038	C052	84.857	0.3595
T0007	C006	15.774	0.2172
T0001,T0002	C075	68.245	0.4573
T0007,T0019	C030	45.427	0.0915
T0031,T0035	C037	74.535	0.3577
T0002,T0006	C033	27.807	0.01
T0016,T0031	C069	74.483	0.5808
T0025,T0033	C051	58.665	0.0576
T0003	C015	44.406	0.2107
T0009,T0026	C017	74.202	0.2162
T0027,T0038	C037	64.16	0.4767
T0013,T0017	C043	66.761	0.1257
T0005,T0015	C004	58.645	0.2389
T0011,T0015	C076	47.571	0.3322
T0031,T0033	C071	89.218	0.6858
T0007,T0036	C016	37.888	0.1535
T0016,T0018	C059	60.946	0.7914
T0002,T0004	C005	64.604	0.2665
T0000,T0033	C009	34.34	0.1591
T0001,T0008	C026	57.447	0.0699
T0005,T0026	C025	46.457	0.7986
T0004,T0013	C060	40.12	0.2876
T0019,T0032	C078	54.57	0.243
T0022,T0034	C067	71.945	0.1218
T0003,T0027	C074	67.993	0.1781
T0032,T0038	C041	40.979	0.3896
T0022,T0034	C055	45.411	0.1135
T0031,T0035	C009	32.534	0.1228
T0001,T0036	C061	58.524	0.1955
T0021,T0026	C052	55.797	0.0509
T0004,T0006	C026	31.354	0.2257
T0029,T0035	C048	45.862	0.3324
T0007,T0033	C074	73.345	0.1775
T0014,T0030	C040	81.081	0.2109
T0000,T0010	C006	49.211	0.6117
T0010,T0037	C006	60.135	0.2288
T0032,T0035	C025	75.754	0.2085
T0015,T0025	C047	67.459	0.2114
T0026,T0038	C002	64.622	0.3616
T0022,T0025	C041	23.815	0.1261
T0020,T0037	C033	56.253	0.2035
T0002,T0019	C073	59.96	0.899
T0013,T0039	C005	76.457	0.3508
T0032	C016	13.464	0.2836
T0011,T0021	C004	27.378	0.0598
T0027,T0039	C052	61.253	0.3445
T0007,T0028	C046	51.322	0.1683
T0021,T0033	C071	64.844	0.2794
T0005,T0014	C028	76.716	0.1788
T0014,T0026	C076	47.959	0.2663
T0031,T0037	C079	52.895	0.2774
T0020,T0036	C001	63.086	0.406
T0000,T0022	C072	48.285	0.4916
T0015,T0026	C025	63.045	0.3765
T0024,T0034	C027	52.627	0.7965
T0030,T0033	C010	32.478	0.4445
T0000,T0015	C046	69.956	0.5069
T0005,T0015	C003	20.617	0.2424
T0008,T0013	C025	50.569	0.359
T0011,T0015	C013	72.516	0.1332
T0022,T0023	C030	88.785	0.2131
T0015,T0038	C059	90.634	0.2384
T0024,T0038	C004	26.578	0.1592
T0037	C031	30.365	0.8649
T0007,T0009	C073	60.446	0.8158
T0002,T0012	C065	82.19	0.7082
T0026,T0027	C010	60.822	0.1283
T0003,T0017	C033	47.214	0.1155
T0018,T0028	C077	53.722	0.3918
T0005,T0016	C024	57.081	0.0855
T0024,T0034	C025	28.836	0.0944
T0034	C069	45.106	0.4324
T0009,T0034	C016	33.615	0.2849
T0019,T0026	C004	29.998	0.1554
T0008,T0027	C038	39.41	0.4677
T0001,T0038	C077	57.728	0.0289
T0008,T0016	C062	73.411	0.3197
T0006,T0022	C030	61.803	0.2901
T0035,T0039	C003	67.262	0.0887
T0013,T0037	C028	52.263	0.7909
T0024,T0033	C075	68.418	0.0663
T0011	C055	47.297	0.5292
T0026,T0039	C059	72.822	0.2742
T0025,T0033	C014	88.732	0.1955
T0011,T0012	C003	93.833	0.5721
T0020,T0025	C078	63.582	0.1735
T0013,T0038	C046	61.682	0.333
T0032,T0038	C055	39.199	0.0954
T0016,T0019	C058	58.945	0.3008
T0017,T0023	C049	60.118	0.052
T0010,T0033	C054	72.749	0.0384
T0027,T0034	C058	70.625	0.1391
T0004,T0028	C000	80.495	0.1437
T0008,T0036	C050	52.146	0.305
T0036	C055	35.704	0.9333
T0001,T0007	C043	80.588	0.1055
T0030,T0036	C019	55.772	0.2999
T0015,T0023	C069	39.502	0.3104
T0036,T0038	C028	68.585	0.4266
T0005,T0017	C050	74.68	0.1945
T0018,T0032	C003	53.971	0.2118
T0020,T0030	C041	65.494	0.2459
T0024,T0035	C063	54.399	0.0859
T0006,T0028	C052	78.12	0.3091
T0006,T0013	C037	52.634	0.2062
T0003,T0033	C000	82.784	0.0166
T0019,T0039	C029	51.2	0.1519
T0012,T0036	C002	34.957	0.2367
T0002,T0031	C046	66.01	0.0384
T0012,T0029	C029	53.261	0.2121
T0006,T0023	C012	84.214	0.2687
T0002,T0025	C067	55.303	0.0805
T0001,T0026	C074	53.976	0.2943
T0018,T0030	C063	45.244	0.3665
T0011,T0013	C047	50.537	0.5277
T0003,T0036	C041	61.9	0.0494
T0003,T0028	C059	44.541	0.0831
T0004,T0014	C078	97.476	0.0356
T0002,T0007	C005	52.804	0.2448
T0015,T0032	C014	58.967	0.1199
T0021,T0028	C022	70.431	0.3883
T0006,T0027	C027	100.0	0.4172
T0032,T0034	C052	65.031	0.6081
T0015,T0022	C037	70.055	0.0878
T0020,T0026	C065	48.466	0.5027
T0024,T0029	C012	31.697	0.0385
T0025,T0038	C031	48.059	0.1072
T0007,T0014	C002	43.089	0.1216
T0006	C065	48.357	0.3798
T0005,T0022	C050	50.379	0.2472
T0012,T0036	C053	65.38	0.1826
T0025,T0032	C073	91.977	0.3201
T0010,T0021	C026	51.4	0.4057
T0027	C060	14.329	0.1506
T0006,T0009	C020	63.279	0.0713
T0004,T0039	C037	29.135	0.0587
T0015,T0019	C047	58.917	0.0472
T0013,T0016	C048	64.496	0.5229
T0029,T0032	C049	36.158	0.2662
T0000,T0021	C017	65.938	0.0892
T0022	C073	24.789	0.7083
T0032	C027	39.505	0.221
T0004,T0027	C072	57.358	0.2522
T0007,T0037	C045	51.923	0.0478
T0011,T0036	C071	33.323	0.0823
T0000,T0014	C077	71.353	0.1526
T0019,T0037	C010	67.241	0.2085
T0013,T0023	C035	43.187	0.7212
T0011,T0027	C037	66.191	0.5005
T0014,T0017	C073	63.565	0.6528
T0020,T0039	C012	42.379	0.0728
T0012,T0034	C006	36.541	0.01
T0002,T0003	C056	98.791	0.7389
T0000,T0020	C037	52.684	0.4857
T0014,T0021	C066	37.953	0.5546
T0031,T0039	C008	63.384	0.2061
T0011,T0019	C030	54.121	0.2724
T0006	C009	42.291	0.3366
T0016,T0019	C060	48.743	0.4271
T0015,T0019	C057	76.83	0.1414
T0008,T0015	C024	77.746	0.081
T0021,T0033	C054	63.186	0.0903
T0019,T0021	C069	31.993	0.167
T0025,T0038	C020	77.649	0.2155
T0008,T0032	C031	92.113	0.8416
T0006,T0018	C051	63.46	0.3445
T0025,T0035	C051	33.987	0.0972
T0021,T0029	C022	83.776	0.4056
T0003,T0037	C009	43.855	0.6706
T0016,T0017	C017	76.733	0.1113
T0017,T0023	C062	66.002	0.4889
T0006,T0012	C076	44.606	0.1906
T0000,T0024	C061	63.754	0.3599
T0012,T0036	C019	72.572	0.3148
T0012,T0035	C074	43.704	0.0469
T0005,T0032	C057	53.42	0.0756
T0012,T0026	C018	97.916	0.1317
T0033	C052	42.46	0.2014
T0020,T0021	C026	67.164	0.5174
T0011,T0017	C006	100.0	0.01
T0015,T0018	C024	63.086	0.2266
T0010,T0027	C064	77.279	0.2012
T0001,T0004	C052	93.257	0.1154
T0005,T0033	C040	96.593	0.3743
T0031,T0039	C068	58.626	0.3444
T0033,T0039	C051	75.2	0.3291
T0020	C048	11.817	0.1223
T0002,T0016	C069	52.024	0.4527
T0016,T0025	C001	88.638	0.2323
T0034	C056	21.398	0.8248
T0033	C002	29.308	0.2607
T0004,T0005	C013	84.897	0.1253
T0034,T0039	C047	57.712	0.0247
T0008,T0018	C005	54.786	0.6635
T0004,T0030	C035	44.305	0.224
T0024,T0036	C017	47.26	0.8227
T0003,T0039	C077	63.863	0.0544
T0002,T0028	C063	96.254	0.666
T0022,T0023	C045	26.736	0.163
T0025,T0036	C007	54.45	0.1438
T0011,T0028	C003	80.56	0.29
T0014,T0035	C046	37.738	0.2025
T0018,T0034	C054	33.374	0.4353
T0000,T0023	C009	52.971	0.7344
T0018,T0038	C025	26.923	0.0939
T0012,T0037	C020	57.555	0.4004
T0012,T0014	C052	48.675	0.2253
T0025,T0029	C005	64.793	0.2848
T0004,T0010	C079	81.992	0.2743
T0026,T0034	C029	88.226	0.3216
T0021,T0039	C016	83.207	0.5213
T0032,T0035	C024	65.801	0.1195
T0004	C035	18.618	0.325
T0000,T0037	C079	58.108	0.0195
T0008,T0024	C029	82.636	0.0709
T0004,T0019	C077	67.502	0.2559
T0028	C062	22.456	0.2002
T0002,T0015	C025	50.395	0.3128
T0017,T0027	C026	57.89	0.479
T0003,T0028	C054	85.674	0.0939
T0007,T0017	C044	53.67	0.1268
T0000,T0031	C016	41.57	0.3772
T0001,T0029	C020	89.805	0.0166
T0002,T0011	C026	57.862	0.4805
T0020,T0025	C033	59.253	0.3002
T0011	C046	10.095	0.6451
T0020,T0026	C060	71.185	0.0846
T0031,T0033	C058	38.677	0.3966
T0028,T0033	C061	46.455	0.4636
T0025,T0033	C042	74.356	0.3406
T0022	C035	27.322	0.3576
T0004,T0031	C038	47.363	0.0826
T0020	C039	46.057	0.1558
T0024	C075	33.911	0.463
T0008,T0036	C072	55.198	0.0879
T0025,T0026	C038	65.367	0.1719
T0006,T0036	C079	65.067	0.0603
T0010,T0024	C021	85.597	0.1239
T0003,T0028	C037	78.635	0.1323
T0005,T0014	C030	46.284	0.0792
T0010,T0018	C055	30.912	0.2447
T0005,T0031	C076	34.073	0.01
T0024,T0034	C012	19.641	0.2466
T0022	C034	15.241	0.6001
T0035,T0038	C028	47.968	0.5671
T0018,T0024	C064	78.137	0.2268
T0021,T0036	C054	42.296	0.2636
T0021,T0023	C058	100.0	0.0828
T0015	C000	41.492	0.7999
T0012,T0021	C018	56.102	0.0684
T0034,T0038	C066	59.982	0.1699
T0014,T0033	C049	56.254	0.3562
T0022,T0035	C018	83.033	0.4764
T0003,T0022	C075	36.664	0.2381
T0003,T0012	C066	34.383	0.0289
T0004,T0005	C072	30.126	0.0976
T0011,T0012	C018	60.18	0.2472
T0010,T0038	C006	79.967	0.1558
T0008,T0036	C005	74.566	0.5501
T0022,T0036	C079	59.313	0.0583
T0004,T0030	C067	42.129	0.4992
T0016,T0035	C077	51.765	0.01
T0001,T0003	C079	54.995	0.4992
T0023,T0029	C016	67.408	0.0802
T0033,T0034	C064	55.809	0.1407
T0031,T0032	C018	81.964	0.3655
T0004,T0036	C002	47.042	0.2429
T0004,T0030	C050	66.161	0.2502
T0011,T0037	C036	58.722	0.1581
T0018,T0031	C044	64.498	0.4829
T0014,T0028	C066	49.562	0.7179
T0000,T0020	C033	32.429	0.5434
T0015,T0032	C063	67.613	0.5961
T0017,T0034	C012	57.545	0.1147
T0027,T0031	C078	48.636	0.7554
T0005,T0012	C009	46.304	0.4723
T0018,T0024	C056	35.14	0.1836
T0018,T0025	C057	54.714	0.3247
T0029,T0032	C043	90.96	0.0836
T0007,T0036	C057	40.504	0.3943
T0003,T0011	C078	64.854	0.1597
T0003,T0010	C006	63.354	0.2263
T0006,T0016	C062	73.857	0.1398
T0018,T0028	C067	52.197	0.1814
T0027,T0032	C042	48.413	0.4743
T0010,T0037	C079	68.954	0.1962
T0006,T0030	C006	54.168	0.395
T0014	C001	40.915	0.6693
T0009,T0010	C047	100.0	0.3726
T0002,T0016	C078	72.94	0.4992
T0021,T0031	C028	96.588	0.2511
T0003,T0008	C052	39.768	0.3965
T0000,T0021	C073	44.967	0.2347
T0000,T0016	C029	75.065	0.6994
T0020,T0022	C040	48.648	0.4667
T0005,T0025	C034	74.14	0.5316
T0003,T0033	C049	68.532	0.3302
T0010,T0016	C028	70.114	0.01
T0024,T0038	C024	38.159	0.83
T0010,T0024	C036	68.618	0.1198
T0018,T0022	C017	38.351	0.1102
T0009,T0031	C077	69.125	0.3344
T0010,T0026	C054	43.28	0.2049
T0021,T0036	C048	57.675	0.8006
T0011,T0026	C050	46.726	0.0965
T0008,T0032	C012	65.19	0.3359
T0018	C045	11.27	0.8472
T0012,T0023	C023	57.977	0.1175
T0022,T0023	C067	91.138	0.1646
T0028,T0036	C008	58.432	0.2155
T0006,T0023	C038	67.143	0.6213
T0022,T0024	C038	32.212	0.2156
T0009,T0012	C072	67.894	0.3592
T0005,T0029	C051	40.715	0.1356
T0023,T0036	C018	76.563	0.0395
T0030,T0037	C030	51.39	0.1004
T0015,T0031	C007	37.514	0.1595
T0003,T0037	C028	45.47	0.5332
T0021,T0034	C063	48.333	0.02
T0007,T0011	C071	55.361	0.219
T0019,T0024	C028	67.89	0.2716
T0011,T0025	C027	61.325	0.5728
T0010,T0030	C058	74.316	0.2324
T0017,T0024	C077	18.233	0.0587
T0009,T0026	C010	34.096	0.2741
T0006,T0027	C014	54.028	0.3819
T0015,T0024	C008	74.993	0.3252
T0008,T0022	C018	63.425	0.3608
T0002,T0025	C036	50.013	0.0766
T0006,T0030	C011	75.433	0.2714
T0002,T0033	C064	62.238	0.166
T0007,T0035	C076	94.041	0.0383
T0011,T0022	C024	51.614	0.0127
T0027,T0032	C018	62.319	0.467
T0034,T0039	C028	30.006	0.5875
T0000,T0016	C018	70.639	0.2627
T0002,T0007	C054	68.789	0.3151
T0025	C011	27.971	0.2707
T0032,T0036	C071	44.735	0.0813
T0001,T0016	C069	80.487	0.734
T0009,T0018	C076	40.557	0.2581
T0007,T0034	C038	42.04	0.1263
T0002,T0013	C051	53.725	0.1471
T0027,T0038	C014	57.548	0.1413
T0015	C023	21.802	0.358
T0003,T0012	C052	37.132	0.3783
T0011,T0027	C041	48.132	0.152
T0021,T0038	C052	64.718	0.1789
T0029,T0035	C040	67.01	0.1984
T0012,T0033	C010	21.924	0.53
T0007,T0036	C030	66.899	0.1548
T0029,T0030	C074	51.421	0.555
T0009,T0027	C076	47.429	0.2055
T0001,T0023	C069	67.18	0.708
T0014,T0028	C002	69.448	0.15
T0002,T0036	C013	43.526	0.5284
T0004,T0015	C049	51.502	0.1793
T0008,T0036	C054	47.205	0.2501
T0031,T0033	C030	58.835	0.4993
T0002,T0013	C020	82.662	0.2091
T0012,T0029	C024	76.842	0.5174
T0001,T0008	C022	39.671	0.111
T0035,T0039	C073	60.525	0.2029
T0009,T0020	C018	59.865	0.4436
T0002,T0022	C070	58.482	0.1632
T0037	C072	38.937	0.5656
T0005,T0011	C060	59.226	0.01
T0015,T0038	C066	77.37	0.0688
T0005,T0007	C005	54.633	0.1274
T0018,T0031	C040	58.086	0.0437
T0014,T0016	C079	49.049	0.5289
T0000,T0039	C073	54.273	0.2818
T0004,T0010	C071	39.939	0.0668
T0034,T0037	C046	85.797	0.7542
T0024,T0031	C005	23.155	0.2267
T0019,T0036	C033	84.012	0.257
T0018,T0029	C066	74.887	0.2031
T0011,T0023	C027	47.172	0.3252
T0030,T0032	C032	38.092	0.0194
T0031,T0035	C006	71.9	0.0539
T0001,T0037	C020	69.923	0.1596
T0011,T0026	C020	33.67	0.7241
T0015,T0024	C015	78.71	0.3249
T0000,T0001	C055	50.585	0.4634
T0015,T0032	C034	76.808	0.2425
T0016,T0034	C028	51.389	0.2592
T0022,T0032	C041	27.152	0.3309
T0013,T0027	C009	70.581	0.1216
T0009,T0016	C067	69.333	0.2559
T0002,T0029	C050	21.147	0.2715
T0003,T0005	C008	61.891	0.3092
T0003	C000	46.871	0.1735
T0010,T0013	C021	63.501	0.074
T0010,T0018	C005	54.887	0.7813
T0004,T0021	C066	51.699	0.5289
T0019	C019	21.239	0.4572
T0019,T0032	C023	46.937	0.1362
T0019	C030	11.287	0.3962
T0014,T0028	C078	65.353	0.1001
T0001,T0024	C045	58.938	0.4497
T0005,T0014	C004	74.361	0.2926
T0017,T0027	C055	66.34	0.1202
T0004,T0037	C008	48.927	0.3147
T0022,T0023	C040	85.945	0.0901
T0015,T0036	C072	66.263	0.3182
T0010,T0016	C040	63.993	0.3412
T0002,T0003	C067	46.029	0.0426
T0020,T0028	C027	73.164	0.0694
T0035	C040	45.276	0.9307
T0003,T0024	C031	33.514	0.6155
T0005,T0017	C009	39.418	0.2223
T0031,T0036	C010	63.143	0.2546
T0019,T0028	C075	38.257	0.3815
T0002,T0027	C065	53.977	0.5225
T0012,T0027	C061	34.441	0.1318
T0005,T0008	C006	80.593	0.1085
T0016	C009	13.963	0.3458
T0012,T0017	C061	23.854	0.1941
T0017,T0039	C049	58.369	0.2721
T0007,T0017	C005	86.496	0.185
T0031,T0034	C012	42.494	0.1623
T0037	C039	26.203	0.7812
T0020,T0032	C004	28.72	0.4439
T0007,T0022	C040	57.196	0.4417
T0013,T0031	C035	56.975	0.7717
T0004,T0022	C063	72.345	0.012
T0019,T0023	C002	69.607	0.4054
T0033,T0035	C020	45.587	0.5276
T0009,T0037	C056	26.762	0.0577
T0006,T0034	C055	51.509	0.0833
T0022,T0023	C055	38.274	0.4156
T0006,T0036	C060	39.276	0.0651
T0004,T0037	C062	53.367	0.0218
T0013,T0032	C016	41.241	0.1394
T0005,T0028	C016	55.838	0.1372
T0010,T0035	C009	79.105	0.1123
T0011,T0028	C062	34.937	0.13
T0013	C023	19.629	0.3798
T0013,T0028	C070	37.25	0.2925
T0013,T0021	C079	77.402	0.2924
T0016,T0030	C015	55.996	0.1723
T0028,T0039	C070	45.937	0.0433
T0015,T0024	C065	44.643	0.3101
T0015,T0026	C004	33.888	0.1275
T0011,T0029	C079	29.578	0.4976
T0010,T0020	C045	72.527	0.7664
T0011,T0020	C065	54.523	0.1823
T0006,T0015	C034	70.359	0.2127
T0006,T0028	C057	81.23	0.6809
T0001,T0033	C006	58.722	0.5652
T0024,T0038	C063	69.296	0.0219
T0011,T0025	C032	47.944	0.093
T0017,T0033	C042	99.024	0.6777
T0000,T0016	C031	58.162	0.1137
T0015,T0021	C022	91.528	0.3449
T0019,T0032	C016	31.398	0.0778
T0000,T0008	C010	78.825	0.6606
T0010,T0022	C043	57.015	0.2283
T0009,T0032	C045	62.798	0.2803
T0011,T0017	C021	60.263	0.16
T0007,T0022	C049	63.119	0.1766
T0016,T0023	C020	71.372	0.5455
T0006,T0007	C060	57.622	0.1694
T0003,T0014	C016	100.0	0.325
T0006,T0015	C012	73.058	0.2278
T0016,T0035	C074	68.926	0.1307
T0019,T0034	C028	53.921	0.5787
T0031,T0033	C078	59.042	0.5911
T0020,T0023	C027	50.858	0.1498
T0008,T0018	C037	77.535	0.4188
T0016,T0030	C050	56.109	0.2033
T0016,T0039	C040	60.257	0.6995
T0028	C035	22.357	0.8874
T0022	C016	44.815	0.7463
T0001,T0016	C005	75.157	0.0981
T0028,T0034	C030	38.293	0.0151
T0003,T0013	C010	36.348	0.4227
T0004,T0017	C043	28.746	0.4383
T0032,T0036	C025	92.308	0.1244
T0002,T0032	C071	60.857	0.4249
T0007,T0033	C079	61.868	0.0607
T0020,T0036	C073	46.851	0.1486
T0010,T0031	C033	38.444	0.0608
T0010,T0025	C011	54.012	0.101
T0020	C033	12.448	0.7212
T0013,T0014	C020	57.874	0.1131
T0003,T0027	C063	60.485	0.3944
T0014,T0025	C021	44.507	0.01
T0001,T0007	C045	44.518	0.0819
T0027,T0036	C059	37.363	0.3703
T0018,T0034	C029	87.261	0.5659
T0002,T0019	C027	68.91	0.271
T0030,T0039	C055	38.617	0.1655
T0005,T0024	C002	38.009	0.136
T0008,T0017	C075	58.665	0.4964
T0012,T0028	C017	63.594	0.8158
T0006,T0009	C011	69.38	0.2812
T0003,T0020	C000	88.167	0.01
T0014,T0021	C075	58.002	0.3474
T0033,T0038	C072	70.205	0.3262
T0005,T0026	C072	58.915	0.138
T0009,T0018	C021	66.956	0.2428
T0012,T0037	C070	71.867	0.01
T0006,T0025	C043	30.711	0.1816
T0013,T0017	C023	64.807	0.2618
T0025,T0039	C058	72.804	0.3986
T0021	C062	35.167	0.404
T0032,T0033	C068	27.929	0.3862
T0019,T0030	C072	40.897	0.6463
T0004,T0035	C021	63.58	0.1239
T0010,T0015	C005	48.884	0.5248
T0001,T0013	C070	42.911	0.3507
T0009,T0030	C062	89.794	0.4466
T0026,T0033	C054	69.894	0.0897
T0006,T0032	C076	57.134	0.4712
T0020,T0027	C073	41.326	0.0796
T0002	C037	18.64	0.7165
T0019,T0025	C045	58.639	0.478
T0021,T0036	C016	44.926	0.2005
T0008,T0038	C069	62.865	0.511
T0005,T0010	C076	44.444	0.0437
T0005,T0016	C036	55.559	0.0941
T0016,T0039	C018	72.719	0.0969
T0010,T0021	C009	81.497	0.3413
T0022,T0039	C033	49.722	0.0822
T0003,T0030	C044	48.028	0.01
T0009,T0027	C048	77.279	0.1408
