task_id_list	courier_id	total_score	willingness
T0000	C0035	7.107249	0.096826
T0000	C0068	6.428093	0.106125
T0000	C0063	6.551929	0.077911
T0000	C0017	7.630401	0.062372
T0000	C0057	6.602484	0.070216
T0000	C0065	7.871524	0.086642
T0000	C0005	10.142018	0.146778
T0000	C0036	8.533323	0.075953
T0000	C0059	7.945024	0.025370
T0000	C0075	11.723290	0.084523
T0000	C0073	11.620261	0.038591
T0000	C0041	10.966091	0.103592
T0000	C0069	11.228493	0.098729
T0000	C0039	11.971443	0.072173
T0000	C0050	13.149499	0.086132
T0000	C0053	13.254504	0.118852
T0000	C0000	11.870747	0.089374
T0000	C0044	12.681096	0.068836
T0000	C0056	12.596801	0.084391
T0000	C0010	13.066030	0.091378
T0000	C0054	12.216380	0.083669
T0000	C0045	13.262515	0.098024
T0000	C0029	14.168063	0.099522
T0000	C0037	13.718459	0.069659
T0000	C0018	13.800828	0.054016
T0000	C0016	13.959881	0.044208
T0000	C0011	15.099942	0.098521
T0000	C0058	15.221331	0.094158
T0000	C0027	16.704060	0.053607
T0000	C0022	16.068075	0.076654
T0000	C0030	15.557430	0.015000
T0000	C0034	16.812719	0.063586
T0000	C0062	16.435364	0.105451
T0000	C0070	16.785577	0.077083
T0000	C0055	18.212564	0.128454
T0000	C0003	16.231450	0.050319
T0000	C0052	17.451388	0.077608
T0000	C0042	17.461171	0.102408
T0000	C0004	18.554110	0.076174
T0000	C0006	19.073371	0.098564
T0000	C0009	17.937499	0.037347
T0000	C0066	18.966209	0.071229
T0000	C0028	19.669021	0.114731
T0000	C0038	18.528176	0.069653
T0000	C0040	19.498238	0.099933
T0000	C0020	19.020626	0.103948
T0000	C0048	19.310801	0.029123
T0000	C0071	20.258317	0.085529
T0000	C0001	20.223110	0.055638
T0000	C0060	19.052934	0.058268
T0000	C0024	20.407020	0.067285
T0000	C0021	20.762844	0.057979
T0000	C0067	20.688765	0.049475
T0000	C0023	20.180351	0.120825
T0001	C0072	9.763236	0.109038
T0001	C0049	9.279595	0.071514
T0001	C0021	8.011998	0.043187
T0001	C0018	9.959526	0.086054
T0001	C0001	8.929177	0.062796
T0001	C0050	9.701710	0.084052
T0001	C0042	9.850297	0.080176
T0001	C0030	9.635553	0.066632
T0001	C0016	12.710435	0.061686
T0001	C0020	15.947630	0.067052
T0001	C0014	16.950604	0.089975
T0001	C0062	18.240537	0.063559
T0001	C0046	19.059433	0.104257
T0001	C0019	20.358041	0.090379
T0001	C0006	19.333694	0.101815
T0001	C0023	19.711801	0.032835
T0001	C0044	20.631347	0.081372
T0001	C0002	21.553347	0.102753
T0001	C0071	21.130732	0.065898
T0001	C0053	21.893371	0.108910
T0001	C0012	22.054200	0.106999
T0001	C0028	21.381187	0.057602
T0001	C0013	21.297562	0.073615
T0001	C0022	22.195347	0.062489
T0001	C0054	22.420782	0.070539
T0001	C0041	22.914884	0.111614
T0001	C0003	22.721304	0.097135
T0001	C0038	24.901568	0.119044
T0001	C0069	23.414982	0.085701
T0001	C0011	24.484836	0.055034
T0001	C0004	24.840240	0.071518
T0001	C0025	24.073881	0.048815
T0001	C0052	26.400630	0.099497
T0001	C0033	24.904327	0.048304
T0001	C0036	28.797421	0.126003
T0001	C0017	27.570707	0.066369
T0001	C0055	27.324350	0.064113
T0001	C0060	28.562348	0.081111
T0001	C0005	27.517666	0.062671
T0001	C0037	28.627941	0.080515
T0001	C0040	28.631446	0.080809
T0001	C0070	29.258686	0.033006
T0001	C0035	30.746897	0.034861
T0001	C0068	31.801082	0.052198
T0001	C0048	31.348803	0.086176
T0001	C0073	31.877768	0.096485
T0001	C0045	30.831961	0.044412
T0001	C0065	32.575375	0.074542
T0001	C0039	31.885573	0.057737
T0001	C0066	33.091562	0.041261
T0001	C0010	34.341762	0.089760
T0001	C0057	32.891030	0.060253
T0001	C0063	32.575563	0.053535
