task_id_list	courier_id	total_score	willingness
T0000	C0007	1.653204	0.571224
T0000	C0045	4.753580	0.609339
T0000	C0036	2.445534	0.470801
T0000	C0031	3.130972	0.415495
T0000	C0024	10.718945	0.570426
T0000	C0034	9.621967	0.396243
T0000	C0012	12.302576	0.515102
T0000	C0006	13.813213	0.576519
T0000	C0019	10.220288	0.407034
T0000	C0038	13.075513	0.496390
T0000	C0023	12.664303	0.449353
T0000	C0015	14.038724	0.538088
T0000	C0011	12.218680	0.440733
T0000	C0047	9.590525	0.285699
T0000	C0030	14.133014	0.543079
T0000	C0022	11.731985	0.343864
T0000	C0028	14.917510	0.514476
T0000	C0032	11.899055	0.320517
T0000	C0016	13.122552	0.426833
T0000	C0021	12.580303	0.290494
T0000	C0000	16.100702	0.519606
T0000	C0018	18.412399	0.680819
T0000	C0020	16.236156	0.505897
T0000	C0003	13.771890	0.351378
T0000	C0033	14.527364	0.379122
T0000	C0039	17.507675	0.497965
T0000	C0004	18.237433	0.479648
T0000	C0043	15.191618	0.291461
T0000	C0009	12.626892	0.133677
T0000	C0010	19.568934	0.472793
T0000	C0027	19.695036	0.465307
T0000	C0029	16.740635	0.322448
T0000	C0048	19.183445	0.365864
T0000	C0025	20.143154	0.390833
T0001	C0047	1.000000	0.473253
T0001	C0015	2.870264	0.502411
T0001	C0045	4.327871	0.447065
T0001	C0026	7.502485	0.488995
T0001	C0011	5.790753	0.333404
T0001	C0040	9.158000	0.414434
T0001	C0020	10.593969	0.462693
T0001	C0012	12.737260	0.567846
T0001	C0001	12.004129	0.521883
T0001	C0030	11.489777	0.448506
T0001	C0013	11.340581	0.387263
T0001	C0014	10.999672	0.416930
T0001	C0003	11.534470	0.339278
T0001	C0033	14.972851	0.492861
T0001	C0027	14.363864	0.454530
T0001	C0021	12.349895	0.373589
T0001	C0046	14.339298	0.380956
T0001	C0008	11.344504	0.216180
T0001	C0042	19.532086	0.568865
T0001	C0019	14.874950	0.357123
T0001	C0006	17.082594	0.398694
T0001	C0007	16.389812	0.321716
T0001	C0028	18.658964	0.468756
T0001	C0024	17.687343	0.467776
T0001	C0005	19.141006	0.429395
T0001	C0017	19.773799	0.520766
T0001	C0010	22.459554	0.620782
T0001	C0035	17.565876	0.387376
T0001	C0029	17.373875	0.396560
T0001	C0044	19.158575	0.444101
T0001	C0036	21.007470	0.496806
T0001	C0037	20.974054	0.487209
T0001	C0022	18.110747	0.319120
T0001	C0016	21.418121	0.463952
T0002	C0011	5.404209	0.612147
T0002	C0016	6.773760	0.469582
T0002	C0027	8.015087	0.445865
T0002	C0048	8.485561	0.527610
T0002	C0015	6.575654	0.408604
T0002	C0003	8.513896	0.477369
T0002	C0047	7.909716	0.435229
T0002	C0020	11.868787	0.516102
T0002	C0045	14.222386	0.470815
T0002	C0001	15.248429	0.472446
T0002	C0046	19.300266	0.602917
T0002	C0006	15.739231	0.392041
T0002	C0030	15.709604	0.440604
T0002	C0042	14.833058	0.415682
T0002	C0010	18.627734	0.581145
T0002	C0012	16.900547	0.474659
T0002	C0043	15.789021	0.392450
T0002	C0037	15.901790	0.366501
T0002	C0040	19.653683	0.498296
T0002	C0008	14.880626	0.221613
T0002	C0033	19.990182	0.498176
T0002	C0007	20.819826	0.531226
T0002	C0038	18.558782	0.420523
T0002	C0014	22.459768	0.619965
T0002	C0017	20.858178	0.463468
T0002	C0005	19.813297	0.405247
T0002	C0028	20.324770	0.389619
T0002	C0013	21.199520	0.441463
T0002	C0039	19.392593	0.404385
T0002	C0031	18.736983	0.327738
T0003	C0012	1.992585	0.632044
T0003	C0011	1.000000	0.442539
T0003	C0010	4.697767	0.561209
T0003	C0020	6.695482	0.491163
T0003	C0047	9.238402	0.596639
T0003	C0005	8.030676	0.476702
T0003	C0008	9.850219	0.429446
T0003	C0021	11.319918	0.422960
T0003	C0015	11.742117	0.473175
T0003	C0001	8.887239	0.332947
T0003	C0039	13.764294	0.476659
T0003	C0019	11.944659	0.356452
T0003	C0030	13.351900	0.405720
T0003	C0046	13.064641	0.398569
T0003	C0009	16.598830	0.533360
T0003	C0045	12.796098	0.293805
T0003	C0007	16.475320	0.492102
T0003	C0014	17.726650	0.510305
T0003	C0026	17.977157	0.520015
T0003	C0006	16.860395	0.414764
T0003	C0032	17.422568	0.391005
T0003	C0036	17.066808	0.356926
T0003	C0027	18.953299	0.475870
T0003	C0000	22.916760	0.639836
T0003	C0042	18.686288	0.375152
T0003	C0025	18.793673	0.428703
T0003	C0040	17.923076	0.341977
T0003	C0013	20.866727	0.503480
T0003	C0034	22.536850	0.569099
T0003	C0023	19.200870	0.339258
T0003	C0048	21.874642	0.512720
T0004	C0023	4.661734	0.526682
T0004	C0027	12.552508	0.605038
T0004	C0045	11.364348	0.476299
T0004	C0035	12.284525	0.525209
T0004	C0015	9.851244	0.439429
T0004	C0037	11.911935	0.559964
T0004	C0024	10.929161	0.421746
T0004	C0011	10.760320	0.405118
T0004	C0038	11.904474	0.432634
T0004	C0007	14.028017	0.466064
T0004	C0031	12.318942	0.444706
T0004	C0001	14.641292	0.465653
T0004	C0025	10.615698	0.310933
T0004	C0003	15.465264	0.514974
T0004	C0000	15.989171	0.521629
T0004	C0022	15.177719	0.473391
T0004	C0036	13.637038	0.358856
T0004	C0030	11.280927	0.251053
T0004	C0019	19.305293	0.601854
T0004	C0033	17.300056	0.507711
T0004	C0014	19.113256	0.590747
T0004	C0041	16.772858	0.415059
T0004	C0002	16.765001	0.435687
T0004	C0016	16.723135	0.402090
T0004	C0039	18.323416	0.429626
T0004	C0028	19.499183	0.448063
T0004	C0034	16.619622	0.318662
T0004	C0043	18.007484	0.384838
T0004	C0026	19.707947	0.439427
T0004	C0040	21.825627	0.415194
T0004	C0046	18.553285	0.207881
T0004	C0029	22.032013	0.429418
T0004	C0020	23.375495	0.439356
T0005	C0029	4.050369	0.672139
T0005	C0015	1.000000	0.390784
T0005	C0033	4.486532	0.476112
T0005	C0019	3.926578	0.316515
T0005	C0025	6.370831	0.365425
T0005	C0018	8.025295	0.490220
T0005	C0039	8.752990	0.503538
T0005	C0002	9.058579	0.534875
T0005	C0037	7.591362	0.332659
T0005	C0024	10.410924	0.426828
T0005	C0030	9.779796	0.411495
T0005	C0034	10.981744	0.491386
T0005	C0031	16.647913	0.632514
T0005	C0006	14.023035	0.433100
T0005	C0032	14.111252	0.511151
T0005	C0047	14.545599	0.503042
T0005	C0004	15.933476	0.548301
T0005	C0043	12.195707	0.371437
T0005	C0022	13.496332	0.424740
T0005	C0028	15.687485	0.467190
T0005	C0036	16.092644	0.511678
T0005	C0041	15.323264	0.420124
T0005	C0023	16.330497	0.545775
T0005	C0045	16.760990	0.472121
T0005	C0014	19.244154	0.359697
T0005	C0021	21.983822	0.496923
T0005	C0001	20.142854	0.383010
T0005	C0008	22.124557	0.344298
T0005	C0013	19.829852	0.255868
T0005	C0012	22.640560	0.383491
T0006	C0011	1.252773	0.485777
T0006	C0013	5.073828	0.497166
T0006	C0046	5.884306	0.542301
T0006	C0036	6.824983	0.546300
T0006	C0012	9.414769	0.579514
T0006	C0047	9.092777	0.624004
T0006	C0030	8.043032	0.395882
T0006	C0001	10.210845	0.502992
T0006	C0033	9.656254	0.483414
T0006	C0048	10.304751	0.457761
T0006	C0010	12.184117	0.449381
T0006	C0006	13.171746	0.491854
T0006	C0003	12.670813	0.438139
T0006	C0015	14.495341	0.553899
T0006	C0022	9.082041	0.238631
T0006	C0028	14.479806	0.455297
T0006	C0014	15.158957	0.553956
T0006	C0026	12.215101	0.366469
T0006	C0008	15.683986	0.304272
T0006	C0024	19.526757	0.432581
T0006	C0005	20.186600	0.500552
T0006	C0038	19.157174	0.401606
T0006	C0021	20.741057	0.517390
T0006	C0020	18.171882	0.371339
T0006	C0007	17.545337	0.352060
T0006	C0037	19.123062	0.437131
T0006	C0027	20.228851	0.366134
T0006	C0009	19.680648	0.416970
T0006	C0000	20.289883	0.437537
T0006	C0016	20.738896	0.372014
T0006	C0017	21.941331	0.405814
T0006	C0045	17.975873	0.212383
T0006	C0031	21.062372	0.302669
T0006	C0032	22.408403	0.461257
T0006	C0023	25.178013	0.564173
T0007	C0048	1.000000	0.524885
T0007	C0027	6.721852	0.462676
T0007	C0047	10.426010	0.596590
T0007	C0001	7.911950	0.379697
T0007	C0046	5.821018	0.209610
T0007	C0040	13.153523	0.441019
T0007	C0021	11.473342	0.410150
T0007	C0012	12.412752	0.379652
T0007	C0006	11.546657	0.345364
T0007	C0038	14.559128	0.480578
T0007	C0033	14.847014	0.516075
T0007	C0013	16.742125	0.519305
T0007	C0026	16.021370	0.547065
T0007	C0022	15.495040	0.410250
T0007	C0039	15.735691	0.354959
T0007	C0043	15.778660	0.317576
T0007	C0017	16.589319	0.408248
T0007	C0028	16.030504	0.327507
T0007	C0042	14.746365	0.268819
T0007	C0020	15.719569	0.303434
T0007	C0025	17.625731	0.323482
T0007	C0024	15.269535	0.273636
T0007	C0015	17.561809	0.375664
T0007	C0009	19.051646	0.434705
T0007	C0019	16.339209	0.326655
T0007	C0031	19.008891	0.430169
T0007	C0034	16.198825	0.238063
T0007	C0008	19.437981	0.398906
T0007	C0023	16.787519	0.288850
T0007	C0014	16.345774	0.232685
T0007	C0005	18.646878	0.336017
T0007	C0003	22.420320	0.485494
T0007	C0004	19.910660	0.377730
T0007	C0007	19.804798	0.407632
T0008	C0030	1.000000	0.338737
T0008	C0015	5.504912	0.519522
T0008	C0007	10.866976	0.475471
T0008	C0006	15.190917	0.419273
T0008	C0033	18.650240	0.507234
T0008	C0001	16.824451	0.435891
T0008	C0037	14.460587	0.274699
T0008	C0035	18.067221	0.492866
T0008	C0028	17.504640	0.405923
T0008	C0016	18.570393	0.462045
T0008	C0019	21.678573	0.544378
T0008	C0013	21.234812	0.500448
T0008	C0024	18.093538	0.377771
T0008	C0023	17.366022	0.266646
T0008	C0032	18.802756	0.364508
T0008	C0012	18.918392	0.345592
T0008	C0021	20.107782	0.391971
T0008	C0020	21.822160	0.409584
T0008	C0047	22.957251	0.462750
T0008	C0011	23.074395	0.403155
T0008	C0031	21.936886	0.380121
T0008	C0003	22.928334	0.321923
T0008	C0010	22.726693	0.320525
T0008	C0045	24.262637	0.387088
T0008	C0022	23.801662	0.349313
T0008	C0041	26.606990	0.444019
T0008	C0008	22.693465	0.290258
T0008	C0029	24.553305	0.294574
T0008	C0039	28.011154	0.457667
T0008	C0026	26.496437	0.371159
T0009	C0048	1.000000	0.509794
T0009	C0012	2.045255	0.429438
T0009	C0021	6.693997	0.586354
T0009	C0011	9.102217	0.628386
T0009	C0040	7.540949	0.529089
T0009	C0027	5.596293	0.401318
T0009	C0036	8.032837	0.357152
T0009	C0038	10.043933	0.425604
T0009	C0008	9.357308	0.377223
T0009	C0020	10.958028	0.403731
T0009	C0015	11.455519	0.436936
T0009	C0042	11.233067	0.326070
T0009	C0003	11.192413	0.302637
T0009	C0017	17.666257	0.675183
T0009	C0026	12.272329	0.382474
T0009	C0047	17.713488	0.623973
T0009	C0014	16.349582	0.465249
T0009	C0005	17.027761	0.524177
T0009	C0033	18.241795	0.474187
T0009	C0046	16.525830	0.410322
T0009	C0044	19.028857	0.530149
T0009	C0041	15.882847	0.265846
T0009	C0007	16.775443	0.326094
T0009	C0001	19.043637	0.436125
T0009	C0045	17.123772	0.296174
T0009	C0010	19.994684	0.457222
T0009	C0034	19.804529	0.462611
T0009	C0004	20.918580	0.418928
T0009	C0024	18.421000	0.303537
T0009	C0013	18.693065	0.356149
T0009	C0043	21.279393	0.369816
T0009	C0032	22.390501	0.493321
T0010	C0040	5.017056	0.561147
T0010	C0047	8.319199	0.531855
T0010	C0046	7.689508	0.434365
T0010	C0020	8.280853	0.520658
T0010	C0011	9.150066	0.488167
T0010	C0027	11.277726	0.453399
T0010	C0003	10.806478	0.433298
T0010	C0030	17.539567	0.679295
T0010	C0010	11.368146	0.299909
T0010	C0014	12.355346	0.285865
T0010	C0017	16.486674	0.484041
T0010	C0013	14.070925	0.382570
T0010	C0026	14.434757	0.352131
T0010	C0039	15.906189	0.369873
T0010	C0009	17.377987	0.499900
T0010	C0042	16.271246	0.446507
T0010	C0001	17.537307	0.427434
T0010	C0021	18.079710	0.435679
T0010	C0016	15.944502	0.315973
T0010	C0048	16.142730	0.321907
T0010	C0032	20.718729	0.545699
T0010	C0008	16.163515	0.344287
T0010	C0019	20.965523	0.559191
T0010	C0005	22.459038	0.534521
T0010	C0041	20.993573	0.506747
T0010	C0045	21.076537	0.388015
T0010	C0033	18.964722	0.292061
T0010	C0034	17.847732	0.262486
T0010	C0007	20.848484	0.412361
T0010	C0006	20.885539	0.399797
T0010	C0036	22.413976	0.449281
T0010	C0028	17.778329	0.163030
T0010	C0044	22.065052	0.357303
T0010	C0035	21.698068	0.329237
T0011	C0019	5.326962	0.524964
T0011	C0021	3.158997	0.433905
T0011	C0001	6.227254	0.557945
T0011	C0046	6.105739	0.438380
T0011	C0048	4.187481	0.286052
T0011	C0006	9.334235	0.524399
T0011	C0017	8.381143	0.551094
T0011	C0036	8.938464	0.551189
T0011	C0026	9.296087	0.536078
T0011	C0040	9.421076	0.449296
T0011	C0015	8.383949	0.363303
T0011	C0011	9.671562	0.429594
T0011	C0044	12.293120	0.495375
T0011	C0033	11.734839	0.492309
T0011	C0032	10.575242	0.406056
T0011	C0009	13.442134	0.496626
T0011	C0010	12.094020	0.486337
T0011	C0012	12.453872	0.453811
T0011	C0041	11.280953	0.339775
T0011	C0020	14.341393	0.513538
T0011	C0039	16.660844	0.594627
T0011	C0004	13.484210	0.451453
T0011	C0007	16.588696	0.526703
T0011	C0025	14.149276	0.444347
T0011	C0030	17.313541	0.618911
T0011	C0013	13.470411	0.360322
T0011	C0022	16.941332	0.487398
T0011	C0037	16.128049	0.429952
T0011	C0005	16.725616	0.431712
T0011	C0014	17.433659	0.486802
T0011	C0008	19.874769	0.628767
T0012	C0045	1.000000	0.406801
