task_id_list	courier_id	total_score	willingness
T0000	C0027	7.958317	0.316424
T0000	C0002	9.262787	0.322869
T0000	C0009	13.914480	0.342355
T0000	C0006	17.312026	0.426147
T0000	C0024	17.622614	0.393493
T0000	C0001	17.956127	0.406450
T0000	C0025	17.647083	0.350930
T0000	C0013	18.889668	0.332376
T0000	C0005	20.943467	0.369079
T0000	C0016	20.153939	0.274813
T0000	C0008	23.075259	0.333702
T0000	C0010	23.721005	0.337961
T0000	C0012	28.873380	0.473115
T0000	C0007	23.539904	0.233775
T0000	C0000	27.017747	0.435933
T0000	C0026	27.981064	0.419704
T0000	C0023	29.212688	0.441772
T0000	C0004	29.114336	0.342106
T0000	C0011	31.334117	0.414668
T0001	C0020	10.491253	0.375465
T0001	C0024	10.998405	0.367944
T0001	C0007	18.540513	0.467537
T0001	C0001	18.749612	0.490682
T0001	C0014	15.261442	0.339524
T0001	C0002	18.494596	0.454578
T0001	C0023	16.274466	0.312180
T0001	C0027	21.084810	0.484684
T0001	C0016	20.936375	0.424003
T0001	C0006	22.388740	0.348916
T0001	C0022	24.458752	0.514573
T0001	C0017	21.382944	0.312438
T0001	C0019	25.698912	0.425644
T0001	C0021	24.574370	0.336107
T0001	C0012	27.975419	0.454250
T0001	C0005	27.336668	0.285670
T0001	C0004	30.185751	0.373406
T0001	C0011	29.888700	0.275775
T0001	C0026	33.819700	0.474479
T0001	C0015	34.098285	0.391566
T0002	C0023	6.815478	0.529964
T0002	C0002	15.409108	0.487527
T0002	C0021	12.740993	0.273350
T0002	C0007	16.050222	0.406347
T0002	C0005	17.902316	0.396064
T0002	C0006	16.251150	0.313978
T0002	C0016	22.656072	0.468938
T0002	C0022	23.885850	0.409301
T0002	C0020	22.053395	0.331717
T0002	C0012	23.346593	0.313411
T0002	C0001	25.927837	0.392959
T0002	C0013	24.683977	0.238780
T0002	C0004	30.193876	0.448522
T0002	C0009	29.277272	0.407722
T0002	C0010	27.211404	0.328764
T0002	C0025	30.517595	0.394541
T0002	C0000	31.248686	0.384881
T0002	C0014	31.685494	0.378128
T0002	C0024	31.784360	0.311652
T0003	C0024	8.818791	0.517976
T0003	C0014	9.308663	0.517985
T0003	C0023	15.311626	0.474116
T0003	C0011	15.360636	0.367530
T0003	C0009	16.263770	0.346288
T0003	C0021	19.222198	0.468697
T0003	C0001	19.041327	0.424677
T0003	C0006	19.132006	0.333067
T0003	C0015	20.301978	0.356089
T0003	C0022	22.112828	0.438889
T0003	C0002	22.962386	0.398782
T0003	C0005	26.788872	0.453564
T0003	C0008	27.532800	0.426549
T0003	C0027	28.812136	0.464569
T0003	C0025	25.121689	0.320022
T0003	C0010	24.530760	0.275878
T0003	C0004	28.999206	0.337792
T0003	C0016	28.474422	0.318862
T0003	C0000	26.866471	0.228608
T0003	C0013	30.003807	0.371310
T0003	C0018	35.387624	0.354795
T0003	C0020	35.784217	0.425788
T0003	C0026	38.564232	0.302565
T0004	C0001	4.636775	0.585356
T0004	C0021	7.919810	0.303069
T0004	C0027	9.078660	0.376127
T0004	C0009	11.924480	0.389571
T0004	C0024	15.464647	0.360740
T0004	C0006	17.742081	0.375042
T0004	C0020	20.665173	0.362785
T0004	C0010	21.997236	0.352259
T0004	C0022	21.255920	0.351877
T0004	C0025	22.798885	0.348425
T0004	C0014	24.111720	0.406575
T0004	C0017	24.143050	0.393272
T0004	C0002	25.544297	0.455222
T0004	C0011	27.921962	0.549618
T0004	C0012	28.349256	0.522255
T0004	C0005	28.811573	0.488414
T0004	C0023	28.894029	0.410346
T0004	C0007	29.584153	0.388668
T0004	C0004	30.447962	0.396024
T0004	C0015	28.173255	0.262074
T0005	C0006	5.282397	0.480958
T0005	C0024	13.070882	0.350696
T0005	C0010	15.383002	0.306162
T0005	C0014	19.878621	0.471788
T0005	C0020	19.879991	0.491540
T0005	C0001	18.540115	0.282161
T0005	C0026	21.774021	0.403353
T0005	C0009	23.037049	0.386060
T0005	C0017	22.407994	0.313337
T0005	C0002	24.623809	0.402888
T0005	C0004	24.451960	0.460738
T0005	C0021	23.839059	0.381484
T0005	C0027	26.927828	0.498824
T0005	C0013	27.064748	0.499367
T0005	C0018	24.871869	0.329273
T0005	C0008	30.398409	0.512479
T0005	C0012	26.798937	0.301526
T0005	C0022	26.777140	0.360593
T0005	C0005	30.927253	0.346565
T0005	C0007	31.894169	0.247894
T0005	C0011	35.361162	0.394598
T0005	C0015	33.859517	0.265683
T0005	C0016	36.930503	0.385108
T0006	C0020	6.308101	0.554957
T0006	C0027	9.610929	0.485364
T0006	C0002	13.676470	0.447136
T0006	C0006	15.555358	0.466315
T0006	C0014	20.699884	0.496968
