task_id_list	courier_id	total_score	willingness
T0000	C0007	1.149939	0.627903
T0000	C0017	1.377878	0.451159
T0000	C0000	1.162678	0.392880
T0000	C0011	4.956438	0.472509
T0000	C0002	4.127072	0.491100
T0000	C0021	5.488939	0.542260
T0000	C0015	6.310625	0.535961
T0000	C0001	8.240910	0.563345
T0000	C0023	8.524375	0.628352
T0000	C0005	9.430508	0.616410
T0000	C0014	8.424677	0.513805
T0000	C0012	12.319571	0.573640
T0000	C0016	8.740318	0.428992
T0000	C0003	10.213258	0.509125
T0000	C0010	9.396924	0.413675
T0001	C0005	1.000000	0.485425
T0001	C0007	8.556367	0.747223
T0001	C0012	1.417587	0.388309
T0001	C0001	3.520372	0.485521
T0001	C0014	8.998231	0.611075
T0001	C0000	6.603522	0.483330
T0001	C0010	5.422513	0.338408
T0001	C0002	9.000271	0.515147
T0001	C0023	11.928343	0.579301
T0001	C0008	14.318140	0.678093
T0001	C0006	10.323131	0.483036
T0001	C0020	11.857895	0.515849
T0001	C0019	11.917298	0.497803
T0001	C0003	11.751381	0.524364
T0001	C0009	11.954919	0.522394
T0001	C0017	12.239306	0.525076
T0002	C0015	9.431303	0.587663
T0002	C0014	9.871961	0.567430
T0002	C0016	9.692027	0.537537
T0002	C0009	7.334937	0.384881
T0002	C0002	9.048271	0.456454
T0002	C0004	9.587685	0.516912
T0002	C0022	9.853997	0.439672
T0002	C0011	9.748456	0.423233
T0002	C0023	13.196902	0.558619
T0002	C0001	13.911925	0.548411
T0002	C0007	13.929901	0.494893
T0002	C0003	15.876707	0.562543
T0002	C0005	11.746342	0.379213
T0002	C0008	14.241288	0.471989
T0002	C0021	13.210435	0.364970
T0002	C0000	17.106613	0.524306
T0002	C0010	18.802965	0.484205
T0002	C0017	19.025548	0.431245
T0002	C0013	20.282409	0.449949
T0003	C0002	6.864381	0.526688
T0003	C0012	10.343839	0.683357
T0003	C0001	10.923273	0.530770
T0003	C0021	10.021008	0.484720
T0003	C0000	10.126077	0.481165
T0003	C0005	10.832933	0.445944
T0003	C0014	11.111468	0.492524
T0003	C0017	14.008870	0.540542
T0003	C0020	13.131518	0.558372
T0003	C0016	11.131902	0.458173
T0003	C0015	12.634403	0.505226
T0003	C0003	13.122187	0.485938
T0003	C0022	12.603880	0.376743
T0003	C0007	12.559346	0.384211
T0004	C0023	9.138359	0.510377
T0004	C0002	8.410052	0.478436
T0004	C0015	13.038138	0.436347
T0004	C0005	16.020932	0.449595
T0004	C0012	15.511667	0.372722
T0004	C0016	18.486808	0.509467
T0004	C0003	16.612318	0.417490
T0004	C0000	17.460035	0.491551
T0004	C0004	17.324234	0.463023
T0004	C0022	16.604094	0.368910
T0004	C0009	15.742791	0.305993
T0004	C0021	20.096036	0.529029
T0004	C0011	17.008866	0.338248
T0004	C0014	20.663779	0.475961
T0004	C0013	18.484449	0.250566
T0004	C0017	21.381673	0.432818
T0004	C0019	24.551234	0.555756
T0005	C0001	8.047353	0.723716
T0005	C0005	5.742937	0.503916
T0005	C0002	4.291066	0.363577
T0005	C0010	6.047937	0.425152
