task_id_list	courier_id	total_score	willingness
T0000	C0006	11.991453	0.610894
T0000	C0001	11.220245	0.432514
T0000	C0003	15.999258	0.543809
T0000	C0004	14.728093	0.538885
T0000	C0002	16.261412	0.541069
T0000	C0000	18.348641	0.519041
T0000	C0007	18.691037	0.430651
T0001	C0006	5.289704	0.539996
T0001	C0000	6.150484	0.573799
T0001	C0001	7.022751	0.542590
T0001	C0004	12.529652	0.514996
T0001	C0008	13.821408	0.497894
T0001	C0007	18.288947	0.400674
T0001	C0002	20.066168	0.495005
T0002	C0006	7.200902	0.533421
T0002	C0001	8.373457	0.585638
T0002	C0000	7.862174	0.444704
T0002	C0004	10.252047	0.443886
T0002	C0008	10.861561	0.446028
T0002	C0003	26.942696	0.621027
T0002	C0002	23.505988	0.368390
T0002	C0007	27.766125	0.387554
T0002	C0005	33.791362	0.593531
T0003	C0006	5.573739	0.710196
T0003	C0001	8.564795	0.772189
T0003	C0000	9.198349	0.575520
T0003	C0004	8.202258	0.443800
T0003	C0008	13.510186	0.436692
T0003	C0003	19.870382	0.389274
T0003	C0007	22.157080	0.442130
T0003	C0002	22.517149	0.361141
T0003	C0005	32.027888	0.548820
T0004	C0006	8.687328	0.529047
T0004	C0000	11.454722	0.651195
T0004	C0004	12.064932	0.378205
T0004	C0001	11.749321	0.358620
T0004	C0002	16.000051	0.485085
T0004	C0008	17.388884	0.584065
T0004	C0007	16.762057	0.385101
T0004	C0003	16.383613	0.391179
T0004	C0005	16.593877	0.399158
T0005	C0006	4.115170	0.520963
T0005	C0004	7.389141	0.604693
T0005	C0001	8.582680	0.585648
T0005	C0000	10.747174	0.608960
T0005	C0008	16.651824	0.639789
T0005	C0007	13.928592	0.372884
T0005	C0003	20.938862	0.609199
T0005	C0002	18.183177	0.458384
T0000,T0001	C0006	13.039139	0.329496
T0000,T0001	C0001	16.768719	0.590053
T0000,T0001	C0004	19.546716	0.568118
T0000,T0001	C0000	22.576853	0.624283
T0000,T0001	C0008	23.457213	0.460684
T0000,T0002	C0001	16.846798	0.637536
T0000,T0002	C0006	12.984145	0.324198
T0000,T0002	C0000	20.250459	0.626357
T0000,T0002	C0008	24.855954	0.485191
T0000,T0002	C0004	24.265725	0.414185
T0000,T0002	C0007	29.726991	0.475836
T0000,T0003	C0006	13.576069	0.737458
T0000,T0003	C0001	13.484685	0.537974
T0000,T0003	C0000	19.357115	0.480179
T0000,T0003	C0004	20.940122	0.453820
T0000,T0003	C0008	23.684878	0.524755
T0000,T0004	C0006	12.758363	0.592028
T0000,T0004	C0001	14.272206	0.666748
T0000,T0004	C0004	17.722224	0.574229
T0000,T0004	C0000	21.591981	0.537290
T0000,T0004	C0007	20.409527	0.422739
T0000,T0004	C0003	26.838790	0.655260
T0000,T0004	C0008	29.529378	0.616020
T0000,T0004	C0005	27.418881	0.453921
T0000,T0005	C0006	12.220219	0.556755
T0000,T0005	C0001	17.779000	0.552362
T0000,T0005	C0000	16.077726	0.370363
T0000,T0005	C0004	21.510161	0.542321
T0000,T0005	C0008	27.736045	0.526070
T0000,T0005	C0007	25.325885	0.333401
T0001,T0002	C0006	15.225821	0.466118
T0001,T0002	C0000	16.553753	0.500597
T0001,T0002	C0001	17.858744	0.640792
T0001,T0002	C0008	23.127788	0.623992
T0001,T0002	C0004	19.482386	0.428426
T0001,T0002	C0003	27.851641	0.560140
T0001,T0002	C0002	30.436669	0.404698
T0001,T0002	C0007	31.093315	0.204077
T0001,T0002	C0005	43.971180	0.388625
T0001,T0003	C0001	10.301885	0.572810
T0001,T0003	C0006	10.684930	0.555107
T0001,T0003	C0004	9.872887	0.472361
T0001,T0003	C0000	12.841712	0.559570
T0001,T0003	C0008	19.110171	0.391072
T0001,T0003	C0002	26.795869	0.276614
T0001,T0003	C0003	31.132561	0.500996
T0001,T0003	C0007	30.124872	0.436374
T0001,T0003	C0005	36.057650	0.387737
T0001,T0004	C0001	11.169311	0.542013
T0001,T0004	C0006	11.914737	0.469550
T0001,T0004	C0004	16.841329	0.498818
T0001,T0004	C0000	15.993624	0.380720
T0001,T0004	C0008	26.917031	0.604433
T0001,T0004	C0003	26.928284	0.469465
T0001,T0004	C0002	31.115118	0.592893
T0001,T0004	C0007	29.386697	0.367322
T0001,T0004	C0005	35.309738	0.486325
T0001,T0005	C0006	13.226037	0.616597
T0001,T0005	C0000	13.826409	0.458018
T0001,T0005	C0001	13.868015	0.410993
T0001,T0005	C0004	21.511095	0.532042
T0001,T0005	C0008	25.250993	0.563438
T0001,T0005	C0007	30.738688	0.373547
T0001,T0005	C0002	31.932538	0.401263
T0001,T0005	C0003	34.765601	0.455253
T0001,T0005	C0005	40.583818	0.484703
T0002,T0003	C0000	14.546527	0.707154
T0002,T0003	C0006	12.687382	0.587289
T0002,T0003	C0004	16.725793	0.596464
T0002,T0003	C0008	17.002479	0.618601
